snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-110000-P,2026-08-28,110000,put,0.74483453,0.686,0.8085,65.75,,,,,0.2,0.0,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-25DEC26-40000-C,2026-12-25,40000,call,0.38570041,0.384,0.3875,55.52,,,,,250.9,0.0,63937.39
2026-08-03 03:56:49,deribit,BTC,BTC-3AUG26-64000-P,2026-08-03,64000,put,0.01817123,0.013,0.0225,32.26,,,,,23.8,0.1,62857.73
2026-08-03 03:56:49,deribit,BTC,BTC-25DEC26-135000-P,2026-12-25,135000,put,1.11228403,1.0405,1.193,47.48,,,,,0.6,0.0,63937.39
2026-08-03 03:56:49,deribit,BTC,BTC-4AUG26-65000-P,2026-08-04,65000,put,0.03405599,0.013,0.0715,30.82,,,,,0.4,0.4,62871.02
2026-08-03 03:56:49,deribit,BTC,BTC-6AUG26-70000-P,2026-08-06,70000,put,0.11314951,0.076,0.154,40.98,,,,,0.0,0.0,62886.45
2026-08-03 03:56:49,deribit,BTC,BTC-26MAR27-105000-C,2027-03-26,105000,call,0.01199727,0.0115,0.0125,40.34,,,,,183.3,0.2,64610.02
2026-08-03 03:56:49,deribit,BTC,BTC-26MAR27-100000-P,2027-03-26,100000,put,0.56371475,0.5445,0.5915,40.09,,,,,12.1,0.0,64609.83
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-58000-P,2026-08-28,58000,put,0.01098409,0.0105,0.0115,38.28,,,,,966.3,1.9,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-5AUG26-62500-C,2026-08-05,62500,call,0.01352489,0.013,0.014,33.47,,,,,0.3,0.2,62875.71
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-81000-P,2026-08-28,81000,put,0.28508774,0.2415,0.3325,39.17,,,,,0.1,0.0,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-3AUG26-72000-C,2026-08-03,72000,call,0.0,,0.0001,45.28,,,,,6.5,0.0,62857.73
2026-08-03 03:56:49,deribit,BTC,BTC-21AUG26-63000-C,2026-08-21,63000,call,0.02912151,0.029,0.0295,32.79,,,,,5.1,0.0,62992.03
2026-08-03 03:56:49,deribit,BTC,BTC-25JUN27-130000-P,2027-06-25,130000,put,0.99981501,0.984,1.0655,42.73,,,,,0.1,0.0,65338.58
2026-08-03 03:56:49,deribit,BTC,BTC-25DEC26-20000-P,2026-12-25,20000,put,0.00170365,0.0016,0.0017,86.39,,,,,94.6,49.9,63937.28
2026-08-03 03:56:49,deribit,BTC,BTC-21AUG26-70000-P,2026-08-21,70000,put,0.11307516,0.108,0.118,30.32,,,,,0.0,0.0,62992.03
2026-08-03 03:56:49,deribit,BTC,BTC-30OCT26-74000-C,2026-10-30,74000,call,0.01925565,0.0185,0.02,35.19,,,,,5.1,0.1,63506.92
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-46000-P,2026-08-28,46000,put,0.00078295,0.0007,0.0008,56.7,,,,,1321.2,413.1,63044.81
2026-08-03 03:56:49,deribit,BTC,BTC-25JUN27-80000-C,2027-06-25,80000,call,0.08181345,0.0805,0.083,41.19,,,,,63.7,0.1,65338.68
2026-08-03 03:56:49,deribit,BTC,BTC-26MAR27-140000-C,2027-03-26,140000,call,0.00276804,0.0026,0.003,44.42,,,,,761.4,0.0,64610.02
2026-08-03 03:56:49,deribit,BTC,BTC-7AUG26-67000-C,2026-08-07,67000,call,0.00058475,0.0006,0.0007,33.51,,,,,1529.0,202.1,62909.95
2026-08-03 03:56:49,deribit,BTC,BTC-25DEC26-62000-C,2026-12-25,62000,call,0.11517348,0.1145,0.116,40.32,,,,,255.1,0.1,63937.39
2026-08-03 03:56:49,deribit,BTC,BTC-30OCT26-71000-P,2026-10-30,71000,put,0.14694966,0.1445,0.1515,35.41,,,,,0.0,0.0,63506.92
2026-08-03 03:56:49,deribit,BTC,BTC-25JUN27-82000-C,2027-06-25,82000,call,0.07463912,0.0735,0.0755,41.14,,,,,23.4,0.0,65338.68
2026-08-03 03:56:49,deribit,BTC,BTC-5AUG26-61000-C,2026-08-05,61000,call,0.03205577,0.028,0.038,37.85,,,,,0.0,0.0,62875.71
2026-08-03 03:56:49,deribit,BTC,BTC-25JUN27-110000-C,2027-06-25,110000,call,0.02143041,0.0205,0.0225,41.44,,,,,169.9,0.0,65338.58
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-30000-C,2026-09-25,30000,call,0.52656219,0.5255,0.5275,84.22,,,,,134.0,0.0,63265.58
2026-08-03 03:56:49,deribit,BTC,BTC-4AUG26-62000-C,2026-08-04,62000,call,0.01662063,0.0135,0.0195,34.88,,,,,0.0,0.0,62871.02
2026-08-03 03:56:49,deribit,BTC,BTC-21AUG26-53000-P,2026-08-21,53000,put,0.00199415,0.0018,0.0022,46.99,,,,,33.2,0.0,62992.03
2026-08-03 03:56:49,deribit,BTC,BTC-25JUN27-85000-P,2027-06-25,85000,put,0.36574502,0.363,0.371,41.01,,,,,5.5,0.0,65338.68
2026-08-03 03:56:49,deribit,BTC,BTC-26MAR27-108000-C,2027-03-26,108000,call,0.01027118,0.0095,0.011,40.62,,,,,56.9,0.1,64609.83
2026-08-03 03:56:49,deribit,BTC,BTC-14AUG26-70000-C,2026-08-14,70000,call,0.00063004,0.0006,0.0007,31.8,,,,,1068.3,3.8,62941.28
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-170000-C,2026-09-25,170000,call,1.696e-05,,0.0002,71.81,,,,,359.5,0.0,63265.61
2026-08-03 03:56:49,deribit,BTC,BTC-25DEC26-60000-C,2026-12-25,60000,call,0.13312091,0.1325,0.1345,40.99,,,,,785.9,0.0,63937.39
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-190000-P,2026-09-25,190000,put,2.00321569,1.9015,2.112,72.99,,,,,0.0,0.0,63265.61
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-73000-C,2026-08-28,73000,call,0.00141993,0.0014,0.0016,31.75,,,,,1803.7,3.8,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-5AUG26-63500-C,2026-08-05,63500,call,0.00546539,0.005,0.006,31.15,,,,,2.7,1.6,62875.71
2026-08-03 03:56:49,deribit,BTC,BTC-26MAR27-55000-P,2027-03-26,55000,put,0.06831707,0.0675,0.0695,43.94,,,,,1353.8,0.5,64610.02
2026-08-03 03:56:49,deribit,BTC,BTC-25JUN27-150000-C,2027-06-25,150000,call,0.00546928,0.005,0.006,44.24,,,,,88.4,0.8,65338.68
2026-08-03 03:56:49,deribit,BTC,BTC-3AUG26-65000-C,2026-08-03,65000,call,2e-08,,0.0001,37.13,,,,,293.3,15.9,62858.09
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-58000-C,2026-09-25,58000,call,0.10757233,0.105,0.1095,38.76,,,,,460.8,0.0,63265.58
2026-08-03 03:56:49,deribit,BTC,BTC-5AUG26-64000-C,2026-08-05,64000,call,0.00319054,0.003,0.0034,30.93,,,,,2.2,0.3,62875.71
2026-08-03 03:56:49,deribit,BTC,BTC-30OCT26-54000-C,2026-10-30,54000,call,0.17349824,0.1705,0.1765,42.31,,,,,0.0,0.0,63506.92
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-59000-P,2026-08-28,59000,put,0.0139569,0.0135,0.0145,37.17,,,,,847.6,1.6,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-3AUG26-69000-C,2026-08-03,69000,call,0.0,,0.0001,41.85,,,,,38.0,0.0,62857.73
2026-08-03 03:56:49,deribit,BTC,BTC-5AUG26-57000-C,2026-08-05,57000,call,0.09363539,0.0605,0.126,57.08,,,,,0.0,0.0,62875.71
2026-08-03 03:56:49,deribit,BTC,BTC-30OCT26-82000-P,2026-10-30,82000,put,0.2974109,0.2925,0.303,35.42,,,,,0.0,0.0,63506.92
2026-08-03 03:56:49,deribit,BTC,BTC-26MAR27-106000-P,2027-03-26,106000,put,0.65206481,0.646,0.662,40.48,,,,,0.1,0.0,64610.02
2026-08-03 03:56:49,deribit,BTC,BTC-4AUG26-62500-P,2026-08-04,62500,put,0.00488661,0.0046,0.005,33.18,,,,,16.1,11.0,62871.02
2026-08-03 03:56:49,deribit,BTC,BTC-4AUG26-68000-P,2026-08-04,68000,put,0.08158211,0.045,0.12,36.09,,,,,0.0,0.0,62871.02
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-105000-C,2026-08-28,105000,call,6.476e-05,,0.0001,63.37,,,,,169.2,0.5,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-300000-P,2026-09-25,300000,put,3.74191281,3.5815,3.913,84.97,,,,,0.0,0.0,63265.58
2026-08-03 03:56:49,deribit,BTC,BTC-28AUG26-48000-C,2026-08-28,48000,call,0.23987317,0.2365,0.2425,53.66,,,,,37.5,0.0,63044.73
2026-08-03 03:56:49,deribit,BTC,BTC-30OCT26-54000-P,2026-10-30,54000,put,0.02379928,0.023,0.0245,42.31,,,,,6.6,0.5,63506.92
2026-08-03 03:56:49,deribit,BTC,BTC-25DEC26-210000-P,2026-12-25,210000,put,2.28456642,2.1745,2.406,58.65,,,,,0.0,0.0,63937.28
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-35000-P,2026-09-25,35000,put,0.00120381,0.0011,0.0013,72.67,,,,,895.6,0.2,63265.61
2026-08-03 03:56:49,deribit,BTC,BTC-25SEP26-64000-P,2026-09-25,64000,put,0.05944047,0.0585,0.06,34.92,,,,,608.0,0.1,63265.58
